ad_observation_id,depth,depth_flag,temperature,temperature_flag,salinity,salinity_flag,density,density_flag
1900103_26/12/2001,219.4,1,0.284,1,34.27,1,1027.501953,1
1900103_19/12/2001,219.4,1,0.287,1,34.286,1,1027.514038,1
1900103_19/12/2001,179.6,1,0.289,1,34.26,1,1027.493042,1
1900103_26/12/2001,229,1,0.291,1,34.285,1,1027.512939,1
1900103_26/12/2001,239.5,1,0.292,1,34.286,1,1027.514038,1
1900103_19/12/2001,209,1,0.295,1,34.283,1,1027.511963,1
1900103_26/12/2001,209.4,1,0.295,1,34.265,1,1027.496948,1
1900103_19/12/2001,189,1,0.298,1,34.277,1,1027.506958,1
1900103_19/12/2001,169.2,1,0.3,1,34.246,1,1027.480957,1
1900103_26/12/2001,179.6,1,0.3,1,34.247,1,1027.482056,1
1900103_26/12/2001,249.3,1,0.304,1,34.302,1,1027.526001,1
1900103_19/12/2001,199.3,1,0.308,1,34.281,1,1027.509033,1
1900103_26/12/2001,169.7,1,0.315,1,34.232,1,1027.468994,1
1900103_26/12/2001,259.4,1,0.316,1,34.311,1,1027.532959,1
1900103_26/12/2001,199.3,1,0.317,1,34.261,1,1027.493042,1
1900103_19/12/2001,159.4,1,0.319,1,34.241,1,1027.475952,1
1900103_26/12/2001,269.4,1,0.33,1,34.318,1,1027.537964,1
1900103_26/12/2001,159.6,1,0.333,1,34.223,1,1027.46106,1
1900103_26/12/2001,189.5,1,0.343,1,34.259,1,1027.48999,1
1900103_19/12/2001,229.1,1,0.361,1,34.309,1,1027.529053,1
1900103_26/12/2001,149.6,1,0.37,1,34.217,1,1027.453979,1
1900103_19/12/2001,149.2,1,0.391,1,34.238,1,1027.469971,1
1900103_26/12/2001,279.3,1,0.399,1,34.339,1,1027.551025,1
1900103_26/12/2001,139.3,1,0.412,1,34.211,1,1027.447021,1
1900103_12/12/2001,179,1,0.44,1,34.279,1,1027.5,1
1900103_19/12/2001,239,1,0.504,1,34.333,1,1027.540039,1
1900103_19/12/2001,139.5,1,0.52,1,34.231,1,1027.457031,1
1900103_12/12/2001,169.1,1,0.526,1,34.263,1,1027.482056,1
1900103_12/12/2001,139.7,1,0.527,1,34.223,1,1027.449951,1
1900103_26/12/2001,129.5,1,0.527,1,34.197,1,1027.428955,1
1900103_26/12/2001,289.4,1,0.565,1,34.372,1,1027.567993,1
1900103_12/12/2001,149.3,1,0.574,1,34.25,1,1027.468994,1
1900103_12/12/2001,189.5,1,0.577,1,34.307,1,1027.515015,1
1900103_26/12/2001,1999.8,1,0.589,1,34.691,1,1027.822998,1
1900103_26/12/2001,299.7,1,0.598,1,34.384,1,1027.574951,1
1900103_19/12/2001,129.6,1,0.606,1,34.22,1,1027.442993,1
1900103_12/12/2001,129.3,1,0.62,1,34.196,1,1027.422974,1
1900103_12/12/2001,1899.6,1,0.623,1,34.691,1,1027.821045,1
1900103_19/12/2001,119.3,1,0.623,1,34.213,1,1027.436035,1
1900103_12/12/2001,199.4,1,0.626,1,34.317,1,1027.52002,1
1900103_12/12/2001,159.5,1,0.634,1,34.265,1,1027.477051,1
1900103_19/12/2001,249.3,1,0.637,1,34.356,1,1027.550049,1
1900103_26/12/2001,1898.8,1,0.642,1,34.693,1,1027.822021,1
1900103_19/12/2001,1899.4,1,0.67,1,34.695,1,1027.821045,1
1900103_19/12/2001,109.6,1,0.672,1,34.175,1,1027.402954,1
1900103_26/12/2001,1799.3,1,0.687,1,34.694,1,1027.819946,1
1900103_19/12/2001,1799.6,1,0.704,1,34.697,1,1027.821045,1
1900103_12/12/2001,1799.5,1,0.723,1,34.697,1,1027.819946,1
1900103_26/12/2001,1699.5,1,0.748,1,34.697,1,1027.817993,1
1900103_12/12/2001,259.5,1,0.76,1,34.393,1,1027.572998,1
1900103_19/12/2001,299.3,1,0.777,1,34.414,1,1027.588989,1
1900103_12/12/2001,119.5,1,0.778,1,34.172,1,1027.394043,1
1900103_19/12/2001,1699.4,1,0.778,1,34.7,1,1027.81897,1
1900103_12/12/2001,109.3,1,0.78,1,34.163,1,1027.385986,1
1900103_12/12/2001,209,1,0.791,1,34.342,1,1027.530029,1
1900103_12/12/2001,1699.5,1,0.832,1,34.702,1,1027.817017,1
1900103_12/12/2001,269.2,1,0.843,1,34.411,1,1027.582031,1
1900103_26/12/2001,1599.6,1,0.847,1,34.703,1,1027.817017,1
1900103_12/12/2001,99.5,1,0.849,1,34.155,1,1027.375977,1
1900103_19/12/2001,289.6,1,0.854,1,34.409,1,1027.579956,1
1900103_12/12/2001,219.2,1,0.872,1,34.358,1,1027.537964,1
1900103_12/12/2001,279.2,1,0.875,1,34.422,1,1027.588989,1
1900103_19/12/2001,1599.4,1,0.884,1,34.705,1,1027.81604,1
1900103_12/12/2001,249.5,1,0.895,1,34.39,1,1027.562012,1
1900103_19/12/2001,309.2,1,0.9,1,34.434,1,1027.597046,1
1900103_12/12/2001,1599.3,1,0.905,1,34.705,1,1027.814941,1
1900103_12/12/2001,94.2,1,0.917,1,34.148,1,1027.365967,1
1900103_26/12/2001,309.7,1,0.917,1,34.428,1,1027.590942,1
1900103_12/12/2001,239.3,1,0.939,1,34.386,1,1027.55603,1
1900103_19/12/2001,319.3,1,0.939,1,34.452,1,1027.609009,1
1900103_19/12/2001,258.9,1,0.963,1,34.392,1,1027.55896,1
1900103_12/12/2001,89.5,1,0.968,1,34.147,1,1027.362061,1
